Source,Target,Edge_Label
ActaAcctDM,ActaBenefits,Allocation
ActaAcctDM,ActaBenefits,Customer
ActaAcctDM,ActaBenefits,Department
ActaAcctDM,ActaBenefits,OTS Vendor
ActaAcctDM,ActaBilling,Employee
ActaAcctDM,ActaComp,Purchase
ActaAcctDM,ActaComp,Scanner
ActaAcctDM,ActaComp,Store Inventory
ActaAcctDM,ActaComp,Warehouse Shipping
ActaAcctDM,ActaCoupons,Contract
ActaAcctDM,ActaCoupons,Warehoust Dist
ActaAcctDM,ActaCS,Consumer
ActaAcctDM,ActaCS,Item Detail
ActaAcctDM,ActaData,Allocation
ActaAcctDM,ActaData,Case
ActaAcctDM,ActaData,OTS Cost
ActaAcctDM,ActaData,Store Catalog
ActaAcctDM,ActaData,Timesheet
ActaAcctDM,ActaDist,Department
ActaAcctDM,ActaDist,Employee
ActaAcctDM,ActaDist,Store Catalog
ActaAcctDM,ActaDist,Vendor
ActaAcctDM,ActaEDW,Timesheet
ActaAcctDM,ActaFin,Contract
ActaAcctDM,ActaFin,Item Hierarchy
ActaAcctDM,ActaFin,Offer
ActaAcctDM,ActaFin,Promotion
ActaAcctDM,ActaFin,Site
ActaAcctDM,ActaFlour,Employee
ActaAcctDM,ActaFlour,Location
ActaAcctDM,ActaFlour,OTS Billing
ActaAcctDM,ActaFlour,Price Change
ActaAcctDM,ActaFresh,Authorization Overide
ActaAcctDM,ActaFresh,Department
ActaAcctDM,ActaFresh,Pack
ActaAcctDM,ActaFuel,OTS Cost
ActaAcctDM,ActaHR,Allocation
ActaAcctDM,ActaHR,Marketing Plans
ActaAcctDM,ActaHR,Promotion
ActaAcctDM,ActaHR,Warehouse Delivery
ActaAcctDM,ActaKronos,Consumer Case
ActaAcctDM,ActaKronos,Sales Plans
ActaAcctDM,ActaKronos,Timesheet
ActaAcctDM,ActaKronos,Warehouse Order
ActaAcctDM,ActaLink,Price History
ActaAcctDM,ActaLink,Warehouse Order
ActaAcctDM,ActaMfg,Basket
ActaAcctDM,ActaMfg,BOL
ActaAcctDM,ActaMfg,Contract
ActaAcctDM,ActaMfg,OTS Item
ActaAcctDM,ActaMktng,Price Change
ActaAcctDM,ActaMktng,Store Inventory
ActaAcctDM,ActaODS,DeliveryTruck
ActaAcctDM,ActaODS,Location
ActaAcctDM,ActaPay,Cost
ActaAcctDM,ActaPay,Pack
ActaAcctDM,ActaPay,Vendor
ActaAcctDM,ActaPay,Warehoust Dist
ActaAcctDM,ActaPharm,Item Hierarchy
ActaAcctDM,ActaPharm,Purchase
ActaAcctDM,ActaPlan,Basket
ActaAcctDM,ActaPlan,Case
ActaAcctDM,ActaPlan,Offer
ActaAcctDM,ActaPointMain,OrderDetail
ActaAcctDM,ActaPointMain,OTS Item
ActaAcctDM,ActaPointStore,Offer
ActaAcctDM,ActaPointStore,Price History
ActaAcctDM,ActaPointStore,Timesheet
ActaAcctDM,ActaProdID,Cost
ActaAcctDM,ActaProdID,Product
ActaAcctDM,ActaProdID,Product Case
ActaAcctDM,ActaProdID,Store Inventory
ActaAcctDM,ActaProdID,Warehouse Delivery
ActaAcctDM,ActaPromise,Campaign
ActaAcctDM,ActaPromise,Contract
ActaAcctDM,ActaPromise,Revenue
ActaAcctDM,ActaReport,Campaign
ActaAcctDM,ActaReport,Consumer Case
ActaAcctDM,ActaReport,Marketing Plans
ActaAcctDM,ActaSched,Authorization Data
ActaAcctDM,ActaSched,Customer
ActaAcctDM,ActaSched,Location
ActaAcctDM,ActaSched,OrderDetail
ActaAcctDM,ActaStore,Cost
ActaAcctDM,ActaStore,Coupon
ActaAcctDM,ActaStore,Division
ActaAcctDM,ActaStore,Pack
ActaAcctDM,ActaStore,Promotion
ActaAcctDM,ActaStoreLoc,Division
ActaAcctDM,ActaStoreLoc,Marketing Plans
ActaAcctDM,ActaStoreLoc,Scanner
ActaAcctDM,ActaStoreLoc,Store Inventory
ActaAcctDM,ActaWHSE,Consumer Case
ActaAcctDM,ActaWHSE,Employee
ActaAcctDM,ActaWHSE,Sales
ActaBenefits,ActaAcctDM,Authorization
ActaBenefits,ActaAcctDM,Cost
ActaBenefits,ActaAcctDM,Revenue
ActaBenefits,ActaAcctDM,Site
ActaBenefits,ActaAcctDM,Web-Log
ActaBenefits,ActaBilling,Basket
ActaBenefits,ActaBilling,OTS
ActaBenefits,ActaBilling,OTS Cost
ActaBenefits,ActaBilling,Price Change
ActaBenefits,ActaComp,Client
ActaBenefits,ActaComp,Deal
ActaBenefits,ActaComp,Item Master
ActaBenefits,ActaCoupons,Ingredient
ActaBenefits,ActaCoupons,Promotion
ActaBenefits,ActaCS,BOL
ActaBenefits,ActaData,Contract
ActaBenefits,ActaDist,Case
ActaBenefits,ActaDist,Item Detail
ActaBenefits,ActaDist,OTS Billing
ActaBenefits,ActaDist,Price Data
ActaBenefits,ActaDist,Product
ActaBenefits,ActaEDW,Contract
ActaBenefits,ActaEDW,Deal
ActaBenefits,ActaEDW,Department
ActaBenefits,ActaEDW,Price Data
