Source,Target,Edge_Label
ActaAcctDM,ActaBenefits,Offer
ActaAcctDM,ActaBenefits,OTS Order
ActaAcctDM,ActaBilling,Item Detail
ActaAcctDM,ActaBilling,Location
ActaAcctDM,ActaBilling,Pack
ActaAcctDM,ActaBilling,Product Case
ActaAcctDM,ActaBilling,Warehouse Delivery
ActaAcctDM,ActaComp,Employee
ActaAcctDM,ActaComp,Item Detail
ActaAcctDM,ActaComp,Order
ActaAcctDM,ActaComp,Warehouse Delivery
ActaAcctDM,ActaCoupons,OTS Order
ActaAcctDM,ActaCS,Product
ActaAcctDM,ActaData,Marketing Plans
ActaAcctDM,ActaData,Product
ActaAcctDM,ActaData,Web-Log
ActaAcctDM,ActaDist,Consumer Case
ActaAcctDM,ActaDist,Timesheet
ActaAcctDM,ActaEDW,Campaign
ActaAcctDM,ActaFin,Order
ActaAcctDM,ActaFin,OTS Vendor
ActaAcctDM,ActaFlour,OTS Item
ActaAcctDM,ActaFlour,Promotion
ActaAcctDM,ActaFresh,Marketing Plans
ActaAcctDM,ActaFresh,Offer
ActaAcctDM,ActaHR,Coupon
ActaAcctDM,ActaHR,Division
ActaAcctDM,ActaLink,Cost
ActaAcctDM,ActaLink,Pack
ActaAcctDM,ActaLink,Warehouse Delivery
ActaAcctDM,ActaMfg,Cost
ActaAcctDM,ActaMfg,Item Hierarchy
ActaAcctDM,ActaMfg,Location
ActaAcctDM,ActaMfg,Warehouse Delivery
ActaAcctDM,ActaMktng,Authorization Overide
ActaAcctDM,ActaMktng,BOL
ActaAcctDM,ActaMktng,Deal
ActaAcctDM,ActaODS,Case
ActaAcctDM,ActaODS,OTS Vendor
ActaAcctDM,ActaPay,Case
ActaAcctDM,ActaPay,Employee
ActaAcctDM,ActaPay,Promotion
ActaAcctDM,ActaPharm,Marketing Plans
ActaAcctDM,ActaPlan,Allocation
ActaAcctDM,ActaPlan,Consumer Case
ActaAcctDM,ActaPlan,Product Case
ActaAcctDM,ActaPlan,Promotion
ActaAcctDM,ActaPointMain,OTS Vendor
ActaAcctDM,ActaPointMain,Sales
ActaAcctDM,ActaPointStore,Campaign
ActaAcctDM,ActaPointStore,Deal
ActaAcctDM,ActaPointStore,Price Change
ActaAcctDM,ActaProdID,Authorization Data
ActaAcctDM,ActaProdID,Campaign
ActaAcctDM,ActaProdID,OTS Billing
ActaAcctDM,ActaProdID,Revenue
ActaAcctDM,ActaProdID,Warehouse Delivery
ActaAcctDM,ActaPromise,Department
ActaAcctDM,ActaReport,BOL
ActaAcctDM,ActaSched,Basket
ActaAcctDM,ActaSched,Price History
ActaAcctDM,ActaStore,Authorization Data
ActaAcctDM,ActaStore,Cost
ActaAcctDM,ActaStoreLoc,Contract
ActaAcctDM,ActaStoreLoc,Item Detail
ActaAcctDM,ActaWeb,Employee
ActaAcctDM,ActaWeb,Warehouse Delivery
ActaAcctDM,ActaWHSE,Coupon
ActaAcctDM,ActaWHSE,Item Master
ActaAcctDM,ActaWHSE,Marketing Plans
ActaAcctDM,ActaWHSE,OTS Order
ActaAcctDM,ActaWHSE,Store Deliveries
ActaAcctDM,EBJ_BIO,Price Data
ActaAcctDM,EBJ_BIO,Store Deliveries
ActaAcctDM,EBJ_CRM,BOL
ActaAcctDM,EBJ_CRM,Contract
ActaAcctDM,EBJ_Insurance,Deal
ActaAcctDM,EBJ_Insurance,Unit
ActaAcctDM,EBJ_POS,Store Inventory
ActaAcctDM,EBJ_POSHOSTED,Case
ActaAcctDM,EBJ_POSHOSTED,Store Inventory
ActaAcctDM,EBJ_POSHOSTED,Web-Log
ActaAcctDM,EBJ_Security,Allocation
ActaAcctDM,EBJ_Security,Authorization Data
ActaAcctDM,EBJ_Security,Consumer Case
ActaAcctDM,EBJ_Security,Purchase
ActaAcctDM,EBJ_Security,Unit
ActaAcctDM,FRWN-ERP,Cost
ActaAcctDM,FRWN-ERP,Store Deliveries
ActaAcctDM,FRWN-POS,Basket
ActaAcctDM,FRWN-POS,Timesheet
ActaAcctDM,FRWN-POS,Warehouse Order
ActaAcctDM,FRWN-Time,Site
ActaAcctDM,FRWN-Xfer,Authorization Data
ActaAcctDM,FRWN-Xfer,Employee
ActaAcctDM,FRWN-Xfer,Pack
ActaAcctDM,FRWN-Xfer,Sales
ActaAcctDM,FRWN-Xfer,Warehouse Shipping
ActaAcctDM,WdyLoyalty,Timesheet
ActaAcctDM,WdyLoyalty,Warehoust Dist
ActaAcctDM,WdyMktng,Basket
ActaAcctDM,WdyMktng,OTS Item
ActaAcctDM,WdyMktng,Unit
ActaAcctDM,WdyPOS,Contract
ActaAcctDM,WdyPOS,Offer
ActaAcctDM,WdyPOS,OrderDetail
ActaAcctDM,WdyPurchasing,Revenue
ActaAcctDM,WdyPurchasing,Scanner
ActaAcctDM,WdySales,Consumer Case
ActaAcctDM,WdySales,Marketing Plans
ActaAcctDM,WdySales,Warehouse Shipping
ActaBenefits,ActaAcctDM,Item Hierarchy
ActaBenefits,ActaAcctDM,OTS Vendor
ActaBenefits,ActaAcctDM,Scanner
ActaBenefits,ActaAcctDM,Warehoust Dist
ActaBenefits,ActaAcctDM,WarehouseCase
ActaBenefits,ActaBilling,Marketing Plans
ActaBenefits,ActaBilling,Scanner
ActaBenefits,ActaBilling,WarehouseCase
ActaBenefits,ActaComp,Item Master
ActaBenefits,ActaCoupons,Authorization Data
ActaBenefits,ActaCoupons,Contract
ActaBenefits,ActaCS,Authorization Data
ActaBenefits,ActaCS,Basket
ActaBenefits,ActaCS,Campaign
ActaBenefits,ActaCS,Case
ActaBenefits,ActaCS,Coupon
ActaBenefits,ActaDist,Vendor
ActaBenefits,ActaEDW,Department
ActaBenefits,ActaEDW,OTS Billing
ActaBenefits,ActaEDW,Sales
ActaBenefits,ActaFin,Authorization Overide
ActaBenefits,ActaFin,Item Master
ActaBenefits,ActaFin,Pack
ActaBenefits,ActaFuel,Marketing Plans
ActaBenefits,ActaFuel,Unit
ActaBenefits,ActaHR,Sales
ActaBenefits,ActaKronos,Case
ActaBenefits,ActaLink,Authorization Data
ActaBenefits,ActaLink,Product
ActaBenefits,ActaLink,Warehoust Dist
ActaBenefits,ActaMfg,OTS Item
ActaBenefits,ActaMfg,Pack
ActaBenefits,ActaMfg,Site
ActaBenefits,ActaMfg,Vendor
ActaBenefits,ActaMktng,Price Change
ActaBenefits,ActaMktng,Price Data
