Source,Target,Edge_Label
ActaAcctDM,ActaCoupons,Allocation
ActaAcctDM,ActaMktng,Allocation
ActaAcctDM,ActaPointMain,Allocation
ActaBenefits,ActaFin,Allocation
ActaBenefits,EBJ_CRM,Allocation
ActaBilling,ActaAcctDM,Allocation
ActaCS,ActaFlour,Allocation
ActaDist,ActaCS,Allocation
ActaDist,ActaKronos,Allocation
ActaDist,ActaPlan,Allocation
ActaDist,ActaPromise,Allocation
ActaEDW,FRWN-POS,Allocation
ActaFin,ActaMktng,Allocation
ActaFin,WdyLoyalty,Allocation
ActaFlour,ActaPointStore,Allocation
ActaFlour,WdyMktng,Allocation
ActaFresh,ActaWHSE,Allocation
ActaFuel,EBJ_Security,Allocation
ActaHR,ActaFin,Allocation
ActaHR,ActaPharm,Allocation
ActaKronos,EBJ_POSHOSTED,Allocation
ActaLink,ActaData,Allocation
ActaMfg,ActaAcctDM,Allocation
ActaMfg,ActaLink,Allocation
ActaMktng,ActaDist,Allocation
ActaMktng,ActaSched,Allocation
ActaMobile,ActaStoreLoc,Allocation
ActaODS,ActaPharm,Allocation
ActaODS,FRWN-POS,Allocation
ActaPay,ActaKronos,Allocation
ActaPay,ActaPlan,Allocation
ActaPay,ActaWHSE,Allocation
ActaPay,EBJ_Purchasing,Allocation
ActaPay,FRWN-Xfer,Allocation
ActaPharm,ActaComp,Allocation
ActaPharm,ActaFuel,Allocation
ActaPharm,EBJ_POSHOSTED,Allocation
ActaPointMain,ActaODS,Allocation
ActaPointMain,ActaStoreLoc,Allocation
ActaPointMain,FRWN-ERP,Allocation
ActaPointMain,WdyMktng,Allocation
ActaPointStore,ActaKronos,Allocation
ActaPointStore,ActaReport,Allocation
ActaPointStore,ActaWHSE,Allocation
ActaPointStore,EBJ_Security,Allocation
ActaProdID,ActaCS,Allocation
ActaReport,ActaStore,Allocation
ActaReport,EBJ_Insurance,Allocation
ActaStore,ActaDist,Allocation
ActaStoreLoc,ActaBenefits,Allocation
ActaStoreLoc,ActaHR,Allocation
ActaWeb,ActaAcctDM,Allocation
ActaWeb,ActaBilling,Allocation
ActaWeb,ActaPointMain,Allocation
ActaWeb,EBJ_Security,Allocation
ActaWeb,WdyPurchasing,Allocation
ActaWHSE,FRWN-Xfer,Allocation
EBJ_BIO,ActaReport,Allocation
EBJ_CRM,ActaSched,Allocation
EBJ_CRM,ActaWeb,Allocation
EBJ_POS,ActaData,Allocation
EBJ_POS,FRWN-Time,Allocation
EBJ_POSHOSTED,ActaProdID,Allocation
EBJ_Security,WdySales,Allocation
FRWN-ERP,ActaAcctDM,Allocation
FRWN-ERP,ActaBenefits,Allocation
FRWN-ERP,ActaPromise,Allocation
FRWN-ERP,WdySales,Allocation
FRWN-POS,ActaAcctDM,Allocation
FRWN-POS,ActaWHSE,Allocation
FRWN-POS,WdyLoyalty,Allocation
FRWN-Time,ActaHR,Allocation
FRWN-Time,ActaMktng,Allocation
FRWN-Xfer,ActaFin,Allocation
FRWN-Xfer,EBJ_POSHOSTED,Allocation
WdyLoyalty,ActaKronos,Allocation
WdyLoyalty,ActaMobile,Allocation
WdyLoyalty,EBJ_CRM,Allocation
WdyMktng,ActaBilling,Allocation
WdyMktng,ActaFuel,Allocation
WdyMktng,ActaProdID,Allocation
WdyMktng,WdySales,Allocation
WdyPOS,ActaCS,Allocation
WdySales,ActaFlour,Allocation
WdyTime,WdyPOS,Allocation
