Source,Target,Edge_Label
a,b,dougs walk
b,c,dougs walk
c,d,dougs walk
d,e,dougs walk
e,c,cathys walk
f,d,cathys walk
g,e,cathys walk
h,f,cathys walk
i,g,cathys walk
j,d,cathys walk
k,e,cathys walk
l,f,cathys walk
m,g,cathys walk
n,h,lisas walk
o,i,lisas walk
p,d,lisas walk
q,e,lisas walk
r,f,lisas walk
s ,g,lisas walk
t,h,lisas walk
u,i,lisas walk
v,s,lisas walk
w,t ,micheles walk
x,u,micheles walk
y,v,micheles walk
z,x,micheles walk
d,t,micheles walk
e,u,micheles walk
f,v,charlies walk
g,s,charlies walk
h,t ,charlies walk
i,u,charlies walk
d,d,charlies walk
e,e,charlies walk
f,f,charlies walk
d,g,georges walk
e,d,georges walk
f,e,georges walk
g,f,georges walk
d,w,georges walk
e,x,dans walk
f,y,dans walk
w,z,dans walk
x,d,dans walk
y,e,dans walk
z,f,dans walk
d,g,dans walk
e,h,bills walk
f,i,bills walk
g,s,bills walk
h,t ,eds walk
a,u,eds walk
d,v,eds walk
e,x,eds walk
g,t,eds walk
r,u,eds walk
s,v,eds walk
y,u,eds walk
i,t ,eds walk
o,u,eds walk
q,d,johns walk
w,e,johns walk
e,f,johns walk
r,g,johns walk
t,d,johns walk
y,e,johns walk
u,f,johns walk
i,w,johns walk
o,m,pauls walk
p,n,pauls walk
a,b,pauls walk
s,v,pauls walk
d,c,pauls walk
f,x,pauls walk
g,z,pauls walk
h,l,pauls walk
j,k,richards walk
k,j,richards walk
l,h,richards walk
z,g,richards walk
x,f,richards walk
c,d,richards walk
v,s,neils walk
b,a,neils walk
n,p,neils walk
m,o,neils walk
h,i,neils walk
j,u,neils walk
k,y,petes walk
l,t,petes walk
z,r,petes walk
x,e,petes walk
c,w,petes walk
v,q,petes walk
b,d,petes walk
n,f,connies walk
m,g,connies walk
q,h,connies walk
w,j,connies walk
