Id,Label,Component ID,Strongly-Connected ID,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,PageRank,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree
ActaODS,ActaODS,0,0,0.9596774,3.0,1.5,1.3972431659305964,0.9783762320210535,0.023540976354299824,32,32,64,208.0,107.0,101.0
ActaCS,ActaCS,0,0,0.7492492,2.0,1.2916666666666667,115.8827405104383,0.9235193772648451,0.02438060009529314,31,34,65,208.0,106.0,102.0
ActaBenefits,ActaBenefits,0,0,0.6602564,3.0,1.2916666666666667,174.6595397212013,0.9972077195414113,0.029588294296242133,36,37,73,230.0,116.0,114.0
FRWN-Time,FRWN-Time,0,0,0.42222223,3.0,1.9166666666666667,271.60927128427136,0.1293386021780022,0.017548003533225557,8,7,15,74.0,35.0,39.0
WdyTime,WdyTime,0,0,0.5833333,3.0,1.9583333333333333,37.96549180953207,0.17521573943340368,0.013898621433098089,10,8,18,37.0,17.0,20.0
WdyPurchasing,WdyPurchasing,0,0,0.50549453,3.0,1.8541666666666667,58.973554945226766,0.20847293776098041,0.015840415158001157,12,10,22,38.0,19.0,19.0
ActaMktng,ActaMktng,0,0,0.77936506,2.0,1.2708333333333333,87.91343232592779,0.9824829542141101,0.024498039161273223,33,35,68,212.0,110.0,102.0
ActaSched,ActaSched,0,0,0.78174603,3.0,1.3958333333333333,75.70984579627518,0.963985084853235,0.027047112821968547,34,34,68,209.0,104.0,105.0
ActaComp,ActaComp,0,0,0.7140825,3.0,1.3125,151.8888200459857,0.9425492574525094,0.029087687974450195,35,36,71,235.0,110.0,125.0
ActaPromise,ActaPromise,0,0,0.71834993,3.0,1.3333333333333333,96.05666645677807,1.0,0.028771929027328166,36,35,71,209.0,105.0,104.0
ActaFin,ActaFin,0,0,0.78174603,2.0,1.2916666666666667,71.44164866296768,0.9537393909411828,0.024370101437327266,32,34,66,211.0,99.0,112.0
ActaKronos,ActaKronos,0,0,0.78492063,3.0,1.3333333333333333,78.51585133629106,0.9024063308615093,0.024482366816296456,31,35,66,211.0,89.0,122.0
ActaHR,ActaHR,0,0,0.784127,3.0,1.4375,50.21905945741701,0.964737601346904,0.026617839974601307,34,33,67,235.0,116.0,119.0
ActaPay,ActaPay,0,0,0.78174603,3.0,1.5208333333333333,58.033410127959634,0.9982981646968455,0.02883554939804609,36,31,67,240.0,131.0,109.0
WdyMktng,WdyMktng,0,0,0.4848485,3.0,1.8958333333333333,79.60636955923333,0.15548822049109,0.016640706001113153,11,8,19,41.0,24.0,17.0
EBJ_CRM,EBJ_CRM,0,0,0.47435898,4.0,1.9375,80.75878843378842,0.1098798224244405,0.014102171618320763,9,10,19,121.0,60.0,61.0
FRWN-ERP,FRWN-ERP,0,0,1.0,4.0,2.8541666666666665,0.0,0.0059826211661823695,0.012072619788427406,3,3,6,69.0,43.0,26.0
FRWN-POS,FRWN-POS,0,0,1.0,4.0,2.8541666666666665,0.0,0.0059826211661823695,0.012072619788427406,3,3,6,60.0,25.0,35.0
FRWN-Xfer,FRWN-Xfer,0,0,1.0,4.0,2.8541666666666665,0.0,0.0059826211661823695,0.012072619788427406,3,3,6,54.0,25.0,29.0
EBJ_Purchasing,EBJ_Purchasing,0,0,0.44230768,3.0,1.875,97.47044242307398,0.15226264634251427,0.015891484813664015,11,9,20,129.0,65.0,64.0
EBJ_Security,EBJ_Security,0,0,0.5192308,4.0,1.9791666666666667,88.99839882339882,0.14347927003689184,0.014776906564708009,10,10,20,113.0,51.0,62.0
WdyLoyalty,WdyLoyalty,0,0,0.48351648,3.0,1.8125,51.99303689946106,0.11589790253097505,0.013066602774145671,8,12,20,36.0,19.0,17.0
ActaBilling,ActaBilling,0,0,0.9627016,3.0,1.5208333333333333,1.2257404380318726,0.919764291934594,0.022295816180682798,30,31,61,212.0,109.0,103.0
ActaLink,ActaLink,0,0,0.9627016,3.0,1.5416666666666667,1.2626862508397547,0.9470150084610008,0.022839408894748982,31,30,61,208.0,113.0,95.0
ActaData,ActaData,0,0,0.9627016,3.0,1.5,1.0329988534104217,0.8909951340702985,0.02163955198572768,29,32,61,187.0,81.0,106.0
ActaCoupons,ActaCoupons,0,0,0.96370965,3.0,1.5625,1.1165647128383502,0.9494362258994422,0.022886186503641163,31,29,60,192.0,107.0,85.0
ActaMfg,ActaMfg,0,0,0.96370965,3.0,1.5625,1.1147659369016434,0.9487564114400825,0.02285001289564139,31,29,60,209.0,113.0,96.0
ActaStore,ActaStore,0,0,0.96370965,3.0,1.5,1.1454628900123893,0.8594456135017932,0.021077222687017238,28,32,60,183.0,84.0,99.0
ActaAcctDM,ActaAcctDM,0,0,0.96471775,3.0,1.5833333333333333,1.0344233548349233,0.9496419445592116,0.02282321713593923,31,28,59,184.0,103.0,81.0
ActaPlan,ActaPlan,0,0,0.96471775,3.0,1.5625,1.0457183178540241,0.9181585603059004,0.022203644956599822,30,29,59,184.0,87.0,97.0
ActaStoreLoc,ActaStoreLoc,0,0,0.96471775,3.0,1.5625,1.0473161453139206,0.9180976988440935,0.02218165739896612,30,29,59,188.0,91.0,97.0
ActaFuel,ActaFuel,0,0,0.96471775,3.0,1.5416666666666667,0.9310663032020096,0.8875913799349767,0.02140774595482598,29,30,59,193.0,92.0,101.0
ActaEDW,ActaEDW,0,0,0.9606855,3.0,1.5,1.290009084558584,0.9486955499782754,0.02288908159104396,31,32,63,213.0,104.0,109.0
ActaFresh,ActaFresh,0,0,0.9606855,3.0,1.5,1.2913318358813353,0.9496438957840027,0.02290814318831342,31,32,63,212.0,104.0,108.0
ActaPointStore,ActaPointStore,0,0,0.9606855,3.0,1.5208333333333333,1.2913318358813355,0.9783762320210535,0.02352135925909768,32,31,63,202.0,95.0,107.0
ActaReport,ActaReport,0,0,0.9606855,3.0,1.5,1.3649851014144672,0.949596555531221,0.022945929446353344,31,32,63,205.0,89.0,116.0
EBJ_Insurance,EBJ_Insurance,0,0,1.0,4.0,2.6875,0.0,0.01724838742558743,0.010655750768856118,5,5,10,110.0,59.0,51.0
EBJ_POS,EBJ_POS,0,0,1.0,4.0,2.6875,0.0,0.01724838742558743,0.010655750768856118,5,5,10,108.0,49.0,59.0
EBJ_POSHOSTED,EBJ_POSHOSTED,0,0,1.0,4.0,2.6875,0.0,0.01724838742558743,0.010655750768856118,5,5,10,111.0,60.0,51.0
WdyPOS,WdyPOS,0,0,1.0,3.0,2.5416666666666665,0.0,0.02482827414683631,0.010347868839107799,5,5,10,22.0,11.0,11.0
WdySales,WdySales,0,0,1.0,3.0,2.5416666666666665,0.0,0.02482827414683631,0.010347868839107799,5,5,10,31.0,17.0,14.0
ActaDist,ActaDist,0,0,0.9616935,3.0,1.5208333333333333,1.2180579544873205,0.9500464909734792,0.02294293772998432,31,31,62,210.0,103.0,107.0
ActaFlour,ActaFlour,0,0,0.9616935,3.0,1.5416666666666667,1.2580806043542416,0.9783762320210535,0.023500470349126914,32,30,62,200.0,112.0,88.0
ActaMobile,ActaMobile,0,0,0.9616935,3.0,1.5416666666666667,1.2169826856701162,0.9783762320210535,0.02350047034912691,32,30,62,178.0,103.0,75.0
ActaPointMain,ActaPointMain,0,0,0.9616935,3.0,1.5,1.22113479154636,0.9208978310903173,0.022297679395382547,30,32,62,193.0,95.0,98.0
ActaProdID,ActaProdID,0,0,0.9616935,3.0,1.5416666666666667,1.22113479154636,0.9783762320210535,0.023500470349126914,32,30,62,211.0,118.0,93.0
