Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eigenvector Centrality
FRWN-Xfer,,3,2.183673469,6.004495387,3,6,9,9,3,6,0.233126367
ActaSched,,3,2.020408163,21.73907636,5,8,13,13,5,8,0.275324506
WdyMktng,,3,1.897959184,20.82229224,4,11,15,17,5,12,0.304582552
ActaDist,,3,1.897959184,27.82923267,6,10,16,16,6,10,0.31795282
ActaBilling,,3,1.93877551,33.8781451,5,9,14,16,5,11,0.339302014
WdyLoyalty,,3,1.87755102,37.8400478,6,12,18,18,6,12,0.358424454
ActaStore,,3,1.93877551,32.97717173,7,8,15,17,8,9,0.382056618
EBJ_BIO,,3,2.102040816,25.89641599,7,7,14,14,7,7,0.387604506
ActaPay,,2,1.734693878,48.7238067,7,13,20,25,9,16,0.406382289
ActaFlour,,3,1.816326531,40.68498216,7,12,19,19,7,12,0.413499288
ActaWHSE,,3,2.12244898,25.85649423,7,6,13,13,7,6,0.416170466
FRWN-ERP,,3,2.081632653,24.46517455,7,7,14,15,7,8,0.417903127
ActaODS,,3,1.918367347,34.14395712,8,10,18,18,8,10,0.41988521
ActaAcctDM,,3,1.918367347,47.03597909,7,10,17,17,7,10,0.434462445
WdyTime,,3,1.897959184,42.01399685,7,9,16,19,9,10,0.443409155
ActaMktng,,3,2.020408163,42.50168898,7,9,16,16,7,9,0.454786911
ActaKronos,,3,2.102040816,29.66199552,7,6,13,14,8,6,0.462920022
EBJ_Insurance,,3,1.918367347,40.726851,8,9,17,19,9,10,0.476402941
ActaCS,,3,2.12244898,20.89017866,7,6,13,14,7,7,0.497854496
ActaLink,,3,1.93877551,45.46921673,8,8,16,18,9,9,0.500924112
ActaMfg,,3,1.979591837,42.66849078,9,8,17,18,9,9,0.504225902
ActaHR,,2,1.714285714,84.06300461,9,14,23,23,9,14,0.509176609
ActaCoupons,,3,2.12244898,36.92172731,8,6,14,18,9,9,0.516306616
ActaPointMain,,3,1.959183673,52.15851979,9,9,18,19,10,9,0.518477831
WdyPurchasing,,2,1.755102041,67.4444595,9,12,21,21,9,12,0.533843613
FRWN-POS,,2,1.714285714,86.61622374,9,14,23,28,12,16,0.534159017
ActaStoreLoc,,3,1.979591837,52.19684347,8,8,16,19,11,8,0.535958962
ActaComp,,3,1.918367347,46.92689652,9,10,19,20,10,10,0.536108119
FRWN-Time,,3,1.959183673,46.12074373,8,10,18,20,8,12,0.542508961
ActaPharm,,3,1.897959184,43.31361962,8,9,17,18,9,9,0.547641458
EBJ_Security,,3,1.959183673,51.54484216,8,9,17,18,9,9,0.552857595
ActaFresh,,3,1.918367347,47.80092235,9,9,18,19,9,10,0.553533
ActaPointStore,,3,1.897959184,48.13026355,10,9,19,23,12,11,0.571986318
EBJ_POS,,3,2.163265306,30.44456526,10,6,16,19,11,8,0.580272579
ActaWeb,,3,1.775510204,64.9656982,9,14,23,24,10,14,0.60665923
ActaFin,,3,2.346938776,23.9723488,11,4,15,18,13,5,0.636564605
ActaBenefits,,3,1.836734694,69.27542563,10,11,21,22,10,12,0.646297025
ActaFuel,,3,1.795918367,84.43589514,11,13,24,26,12,14,0.65023488
EBJ_Purchasing,,3,1.918367347,79.25518897,11,10,21,23,11,12,0.659936975
ActaPromise,,3,1.918367347,59.39224606,10,9,19,22,12,10,0.661598835
ActaProdID,,3,1.87755102,76.89169997,11,10,21,22,11,11,0.682354215
ActaMobile,,4,2.571428571,15.11212336,11,3,14,15,11,4,0.705598511
ActaReport,,3,2.12244898,43.56244384,11,7,18,19,12,7,0.747386045
EBJ_POSHOSTED,,3,2.142857143,34.20015677,11,6,17,17,11,6,0.761129635
ActaEDW,,3,1.836734694,89.08095084,14,10,24,29,18,11,0.772514743
ActaData,,2,1.755102041,90.32095138,13,12,25,30,14,16,0.780352355
ActaPlan,,3,2.142857143,50.51206736,13,6,19,20,14,6,0.880537052
WdySales,,4,2.346938776,52.2251392,16,5,21,24,18,6,0.937600902
WdyPOS,,3,2.265306122,56.70902158,15,5,20,24,17,7,0.948849955
EBJ_CRM,,3,1.816326531,118.5763217,17,13,30,31,18,13,1
