Applications,Description
ActaAcctDM,Accounting Data Mart - disconnected from the main Data warehouse. 
ActaBenefits,Benefits enrollment and tracking for all employees
ActaBilling,Billing
ActaComp,Compliance system - All employees must access this system for internal training and compliance.
ActaCoupons,Coupon generation
ActaCS,Customer Service. Returns.complaints. Consolidated system immediately upon acquisition.
ActaData,Hadoop platform. (New)
ActaDist,Distribution application. 
ActaEDW,Data warehouse
ActaFin,Fincancials
ActaFlour,Bakery system - originally created because the bakery was an add-on.  Custom Cake orders are done here. 
ActaFuel,Purchasing system for gasoline vendors. 
ActaHR,Human Resources application for employees.
ActaKronos,Time keeping for employees
ActaLink,Internal connection system for asking questions from one employee to another
ActaMfg,Some products are Acta branded.
ActaMktng,In Store promotions tied to television commercials. 
ActaMobile,Mobile application
ActaODS,Original Operational Data Store. Brought online prior to the Enterprise Data Warehouse. Still active. 
ActaPay,Payroll for employees
ActaPharm,Pharmacy system
ActaPlan,Planning. 
ActaPointMain,Master Point of Sale System. 
ActaPointStore,Store located Point of Sale system.
ActaProdID,Product ID system. 
ActaReport,Internal reporting system
ActaSched,Labor scheduling system - encompass all hourly employees (Shipping grocery gas-stations etc.)
ActaStore,Web 2.0 application - in limited use. 
ActaStoreLoc,GIS application that not only has information about store location but also population information for the zip-codes near the store location.
ActaWeb,Original Web application
ActaWHSE,Warehouse management 
ActaFresh,Produce purchasing and shipping. Ensures that vegetables are farm to store in a finite period of time.
ActaPromise,Loyalty system. Keeps track of reward points and discounts provided for return customers.
